"","Data","Env","Trait","Top_percentage_to_select","K_Value","Line","Observed","Predicted"
"1","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1002",622,0
"2","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1007",622,0
"3","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1008",622,0
"4","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1009",570,0
"5","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1010",570,0
"6","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1011",570,0
"7","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1012",570,0
"8","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1013",612,0
"9","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1014",612,0
"10","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1015",518,0
"11","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1016",518,0
"12","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1017",657,657
"13","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1018",657,657
"14","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1019",622,0
"15","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1022",539,0
"16","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1023",539,0
"17","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1032",660,0
"18","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1036",599,0
"19","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1037",599,0
"20","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1038",599,0
"21","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1039",599,0
"22","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1040",518,0
"23","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1041",518,0
"24","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1042",539,0
"25","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1043",539,0
"26","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1044",499,0
"27","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1045",499,0
"28","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1046",499,0
"29","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1047",499,0
"30","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1054",499,0
"31","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1055",499,0
"32","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1056",499,0
"33","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1057",657,0
"34","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1058",657,657
"35","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1059",657,657
"36","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1060",657,0
"37","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1061",657,0
"38","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1062",657,0
"39","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1063",657,657
"40","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1064",657,0
"41","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1065",627,0
"42","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1066",627,0
"43","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1070",599,0
"44","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1071",599,0
"45","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1072",597,0
"46","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1073",597,0
"47","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1074",599,0
"48","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1075",599,0
"49","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1076",539,0
"50","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1087",568,0
"51","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1088",568,0
"52","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1089",621,0
"53","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1090",621,0
"54","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1091",660,0
"55","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1092",660,660
"56","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1093",660,660
"57","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1094",660,660
"58","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1095",599,0
"59","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1096",599,0
"60","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1099",574,0
"61","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1100",574,0
"62","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1101",518,0
"63","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1102",518,0
"64","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1103",612,0
"65","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1104",612,0
"66","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1109",622,0
"67","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1110",622,0
"68","Eucalyptus_Australian_Calister_2022","11","T1",0.1,1,"1111",599,0
