,Data,Env,Trait,Top_percentage_to_select,K_Value,PM,TBV_QP,TBV_Trad,Mean_BV_QP,Mean_BV_Trad,Var_Opt_QP,Var_Trad,Expected_Loss_QP,Expected_Loss_Trad,Ratio_QP,Ratio_Trad,Av_Rel_QP,Ave_Rel_Trad,Ratio_Mean,Ratio_Var,Ratio_Ave_Rel
5,Eucalyptus_Australian_Calister_2022,12,T1,0.1,1,66.66666667,3960,7260,660,1210,5.163375051,15.2119129,3954.836625,7244.788087,766.9402205,477.2575314,0.018363243,0.179040033,0.545454545,0.339429701,0.102565011
6,Eucalyptus_Australian_Calister_2022,12,T1,0.2,1,100,7917,12516,659.75,1043,15.14874794,27.49960119,7901.851252,12488.5004,522.6174489,455.1338732,0.029292141,0.061907042,0.632550336,0.55087155,0.473163312
7,Eucalyptus_Australian_Calister_2022,12,T2,0.1,1,66.66666667,3672,4896,612,816,6.616235221,11.98923552,3665.383765,4884.010764,554.9984058,408.3663209,0.030620337,0.179040033,0.75,0.551847965,0.171025086
8,Eucalyptus_Australian_Calister_2022,12,T2,0.2,1,75,7324,12180,610.3333333,1015,14.50147298,42.0726361,7309.498527,12137.92736,505.0521427,289.4993309,0.025555013,0.061907042,0.601313629,0.344677071,0.412796544
9,Eucalyptus_Australian_Calister_2022,12,T4,0.1,1,66.66666667,10.73230402,11.29928825,1.788717337,1.883214708,4.479233956,6.77754136,6.253070064,4.52174689,2.396013275,1.667166255,0.028034963,0.179040033,0.949821244,0.660893637,0.156584885
10,Eucalyptus_Australian_Calister_2022,12,T4,0.2,1,83.33333333,18.9535828,19.715854,1.579465233,1.642987833,10.76209998,12.23832878,8.191482817,7.477525224,1.761141676,1.610992347,0.001447073,0.061907042,0.961337145,0.879376602,0.023374934
11,Eucalyptus_Australian_Calister_2022,12,T5,0.1,1,66.66666667,180,300,30,50,6.418029089,14.72765515,173.5819709,285.2723448,28.04599317,20.36984142,0.012948759,0.179040033,0.6,0.435780783,0.072323261
12,Eucalyptus_Australian_Calister_2022,12,T5,0.2,1,75,357,590,29.75,49.16666667,13.75605176,29.89450309,343.2439482,560.1054969,25.95221407,19.73606981,0.005656609,0.061907042,0.605084746,0.460153217,0.091372626
13,Eucalyptus_Australian_Calister_2022,13,T1,0.1,1,54.54545455,7260,11880,660,1080,9.267830754,23.73854713,7250.732169,11856.26145,783.3548316,500.4518573,0.012721558,0.08468199,0.611111111,0.39041272,0.150227433
14,Eucalyptus_Australian_Calister_2022,13,T1,0.2,1,86.36363636,14508,25020,659.4545455,1137.272727,27.03674276,78.46175661,14480.96326,24941.53824,536.6031007,318.8814664,0.011790208,0.036581755,0.579856115,0.344584979,0.322297495
15,Eucalyptus_Australian_Calister_2022,13,T2,0.1,1,63.63636364,6732,12240,612,1112.727273,11.11789566,35.93714338,6720.882104,12204.06286,605.5102698,340.5946842,0.007527398,0.08468199,0.55,0.309370601,0.088890188
16,Eucalyptus_Australian_Calister_2022,13,T2,0.2,1,95.45454545,13454,21952,611.5454545,997.8181818,35.97235846,63.91624811,13418.02764,21888.08375,374.0093943,343.449446,0.031990171,0.036581755,0.612882653,0.5628046,0.874484316
17,Eucalyptus_Australian_Calister_2022,13,T4,0.1,1,63.63636364,31.72008102,32.58678565,2.883643729,2.962435059,9.954378771,15.10976082,21.76570225,17.47702483,3.186545514,2.156671176,0.002191955,0.08468199,0.973403187,0.658804523,0.025884548
18,Eucalyptus_Australian_Calister_2022,13,T4,0.2,1,77.27272727,47.02495243,50.97261362,2.137497838,2.316936983,22.39171009,32.19500331,24.63324234,18.77761031,2.100105451,1.583246106,0.002664758,0.036581755,0.922553291,0.695502649,0.072843908
