"","Data","Trait","Top_percentage_to_select","K_Value","Line","Observed","Predicted"
"1","Groundnut","T1",0.1,0.5,"24M-86",9.3953419812543,0
"2","Groundnut","T1",0.1,0.5,"24×37-2275",13.5107533046462,0
"3","Groundnut","T1",0.1,0.5,"24×39-31MR",13.6821281306144,0
"4","Groundnut","T1",0.1,0.5,"26M-119-1",14.6607477158889,0
"5","Groundnut","T1",0.1,0.5,"26M156-2",13.6837175769309,0
"6","Groundnut","T1",0.1,0.5,"26×27-164",12.7799945216884,0
"7","Groundnut","T1",0.1,0.5,"26×37-IV-9IR",18.0831039189125,0
"8","Groundnut","T1",0.1,0.5,"26×M-223-1",13.8833839728918,0
"9","Groundnut","T1",0.1,0.5,"26×M-95-1RI",16.5936890372238,0
"10","Groundnut","T1",0.1,0.5,"27×49-12",14.8906312075236,0
"11","Groundnut","T1",0.1,0.5,"27×49-14",10.3196369707442,0
"12","Groundnut","T1",0.1,0.5,"27×49-16",10.299035370329,0
"13","Groundnut","T1",0.1,0.5,"27×49-27-1",13.3008988015037,0
"14","Groundnut","T1",0.1,0.5,"39×49-77",15.0818709859154,0
"15","Groundnut","T1",0.1,0.5,"39×49-8",13.4249425633879,0
"16","Groundnut","T1",0.1,0.5,"39×49-81-1",18.4741120013076,0
"17","Groundnut","T1",0.1,0.5,"49M-1-1",12.3186577845834,0
"18","Groundnut","T1",0.1,0.5,"49M-16",22.6695365813436,0
"19","Groundnut","T1",0.1,0.5,"49M-2-2",10.7414063760876,0
"20","Groundnut","T1",0.1,0.5,"49×27-13(ii)",10.20350641863,0
"21","Groundnut","T1",0.1,0.5,"49×27-19",13.8408357134485,0
"22","Groundnut","T1",0.1,0.5,"49×27-37",15.0882558948878,0
"23","Groundnut","T1",0.1,0.5,"49×37-134",13.0351775919286,0
"24","Groundnut","T1",0.1,0.5,"49×37-135",13.1866113314464,0
"25","Groundnut","T1",0.1,0.5,"49×37-90",10.5299184326852,0
"26","Groundnut","T1",0.1,0.5,"49×37-91",14.4401995051589,0
"27","Groundnut","T1",0.1,0.5,"49×37-97-1",7.58288912002398,0
"28","Groundnut","T1",0.1,0.5,"49×37-99(b)tall",8.92161930121211,0
"29","Groundnut","T1",0.1,0.5,"49×39-20-2",10.9104457163092,0
"30","Groundnut","T1",0.1,0.5,"49×39-21-1",12.0350135618142,0
"31","Groundnut","T1",0.1,0.5,"49×39-21-2",13.0417955779343,0
"32","Groundnut","T1",0.1,0.5,"49×39-21-2(a)",22.1171216676073,0
"33","Groundnut","T1",0.1,0.5,"49×39-74",21.5904391852572,0
"34","Groundnut","T1",0.1,0.5,"49×39-8",11.1030778901669,0
"35","Groundnut","T1",0.1,0.5,"BAU13",8.9692355701073,0
"36","Groundnut","T1",0.1,0.5,"CS39",14.3474769915291,14.3474769915291
"37","Groundnut","T1",0.1,0.5,"CSMG84-1",13.4974114314913,0
"38","Groundnut","T1",0.1,0.5,"DH86",16.1817004971733,0
"39","Groundnut","T1",0.1,0.5,"DTG15",16.1663866480074,0
"40","Groundnut","T1",0.1,0.5,"DTG3",16.0175682577047,0
"41","Groundnut","T1",0.1,0.5,"Faizpur1-5",14.8620769867051,0
"42","Groundnut","T1",0.1,0.5,"GPBD4",16.5374753311836,0
"43","Groundnut","T1",0.1,0.5,"Gangapuri",9.01015747629991,0
"44","Groundnut","T1",0.1,0.5,"ICG10036",9.3534202952531,0
"45","Groundnut","T1",0.1,0.5,"ICG10053",11.451145228027,0
"46","Groundnut","T1",0.1,0.5,"ICG10185",8.59409789346448,0
"47","Groundnut","T1",0.1,0.5,"ICG10701",13.806588008876,0
"48","Groundnut","T1",0.1,0.5,"ICG11088",9.03137408255417,0
"49","Groundnut","T1",0.1,0.5,"ICG111",10.944424160829,0
"50","Groundnut","T1",0.1,0.5,"ICG11322",10.3735451836675,0
"51","Groundnut","T1",0.1,0.5,"ICG11337",9.09329065464813,0
"52","Groundnut","T1",0.1,0.5,"ICG11426",10.3942103143403,0
"53","Groundnut","T1",0.1,0.5,"ICG11651",13.0301253826889,0
"54","Groundnut","T1",0.1,0.5,"ICG12276",7.32492985197008,0
"55","Groundnut","T1",0.1,0.5,"ICG12370",7.56037882562222,0
"56","Groundnut","T1",0.1,0.5,"ICG12509",8.08419354836872,0
"57","Groundnut","T1",0.1,0.5,"ICG12625",8.87285864193441,0
"58","Groundnut","T1",0.1,0.5,"ICG12672",13.4288273594377,0
"59","Groundnut","T1",0.1,0.5,"ICG12879",14.669110235718,0
"60","Groundnut","T1",0.1,0.5,"ICG12991",15.6851785484966,0
"61","Groundnut","T1",0.1,0.5,"ICG13895",5.41049026237471,0
"62","Groundnut","T1",0.1,0.5,"ICG14466",7.91256403692575,0
"63","Groundnut","T1",0.1,0.5,"ICG14475",10.2983433712462,0
"64","Groundnut","T1",0.1,0.5,"ICG14482",7.15707941254762,0
"65","Groundnut","T1",0.1,0.5,"ICG14705",10.8950968460784,0
"66","Groundnut","T1",0.1,0.5,"ICG14834",8.38785560094148,0
"67","Groundnut","T1",0.1,0.5,"ICG14985",10.7720930014843,0
"68","Groundnut","T1",0.1,0.5,"ICG15190",7.2686952543961,0
"69","Groundnut","T1",0.1,0.5,"ICG15415",12.1448401048356,0
"70","Groundnut","T1",0.1,0.5,"ICG15419",5.14859498792868,0
"71","Groundnut","T1",0.1,0.5,"ICG156(M13)",11.8133190208,0
"72","Groundnut","T1",0.1,0.5,"ICG1668",11.3025223855645,0
"73","Groundnut","T1",0.1,0.5,"ICG1834",13.1201222486808,0
"74","Groundnut","T1",0.1,0.5,"ICG1973",14.7413336135889,0
"75","Groundnut","T1",0.1,0.5,"ICG2031",13.9349166159103,0
"76","Groundnut","T1",0.1,0.5,"ICG2106",16.9726636294377,0
"77","Groundnut","T1",0.1,0.5,"ICG2381",7.30304473629073,0
"78","Groundnut","T1",0.1,0.5,"ICG2773",5.86258503932415,0
"79","Groundnut","T1",0.1,0.5,"ICG2857",8.48015910866099,0
"80","Groundnut","T1",0.1,0.5,"ICG3027",7.85118678946376,0
"81","Groundnut","T1",0.1,0.5,"ICG3053",8.90711854072115,0
"82","Groundnut","T1",0.1,0.5,"ICG3102",12.2329553152087,0
"83","Groundnut","T1",0.1,0.5,"ICG3140",10.7512468072204,0
"84","Groundnut","T1",0.1,0.5,"ICG3312",13.3173251379874,0
"85","Groundnut","T1",0.1,0.5,"ICG3343",13.5659243672855,0
"86","Groundnut","T1",0.1,0.5,"ICG3421",13.4293734220485,0
"87","Groundnut","T1",0.1,0.5,"ICG3584",15.9030851292278,0
"88","Groundnut","T1",0.1,0.5,"ICG3673",9.04174790257795,0
"89","Groundnut","T1",0.1,0.5,"ICG3746",15.5328363842966,0
"90","Groundnut","T1",0.1,0.5,"ICG434",11.4769630503082,0
"91","Groundnut","T1",0.1,0.5,"ICG4343",6.21414029293236,0
"92","Groundnut","T1",0.1,0.5,"ICG442",11.0964547071498,0
"93","Groundnut","T1",0.1,0.5,"ICG4527",8.98025575273135,0
"94","Groundnut","T1",0.1,0.5,"ICG4543",14.4599315871843,0
"95","Groundnut","T1",0.1,0.5,"ICG4729",15.843138852753,0
"96","Groundnut","T1",0.1,0.5,"ICG4955",15.5892231535299,0
"97","Groundnut","T1",0.1,0.5,"ICG5221",9.09742117245409,0
"98","Groundnut","T1",0.1,0.5,"ICG532",9.03816400906732,0
"99","Groundnut","T1",0.1,0.5,"ICG5662",5.53127180342623,0
"100","Groundnut","T1",0.1,0.5,"ICG5663",6.23089488623948,0
"101","Groundnut","T1",0.1,0.5,"ICG5745",9.4895632914275,0
"102","Groundnut","T1",0.1,0.5,"ICG5891",10.7540837666012,0
"103","Groundnut","T1",0.1,0.5,"ICG6022",6.57317925718515,0
"104","Groundnut","T1",0.1,0.5,"ICG6646",6.74720567074273,0
"105","Groundnut","T1",0.1,0.5,"ICG6766",4.57651660345134,0
"106","Groundnut","T1",0.1,0.5,"ICG721",14.1152790020562,0
"107","Groundnut","T1",0.1,0.5,"ICG8285",12.3222106542765,0
"108","Groundnut","T1",0.1,0.5,"ICG8517",8.07008694130904,0
"109","Groundnut","T1",0.1,0.5,"ICG875",8.55995611677518,0
"110","Groundnut","T1",0.1,0.5,"ICG8751",10.591239962998,0
"111","Groundnut","T1",0.1,0.5,"ICG9315",14.1028004664642,0
"112","Groundnut","T1",0.1,0.5,"ICG9507",8.70729477058631,0
"113","Groundnut","T1",0.1,0.5,"ICG9961",11.5238302509245,0
"114","Groundnut","T1",0.1,0.5,"ICGS11",12.8461631997527,0
"115","Groundnut","T1",0.1,0.5,"ICGS44",11.6006109629461,0
"116","Groundnut","T1",0.1,0.5,"ICGS76",13.6757486281042,0
"117","Groundnut","T1",0.1,0.5,"ICGV00005",18.4970881883329,18.4970881883329
"118","Groundnut","T1",0.1,0.5,"ICGV00068",15.1158558725185,0
"119","Groundnut","T1",0.1,0.5,"ICGV00191",17.5330621100246,0
"120","Groundnut","T1",0.1,0.5,"ICGV00246",9.62276794964888,0
"121","Groundnut","T1",0.1,0.5,"ICGV00248",12.2038667803381,0
