"","Data","Env","Trait","Top_percentage_to_select","K_Value","Line","Observed","Predicted"
"1","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1254",104.8,0
"2","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1257",111.7,0
"3","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1258",112.8,0
"4","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1259",97.1,0
"5","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1260",109.2,0
"6","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1261",98,0
"7","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1262",90.5,0
"8","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1263",96.2,0
"9","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1264",91.5,0
"10","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1265",104.5,0
"11","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1266",88,0
"12","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1267",104.9,0
"13","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1268",101.7,0
"14","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1269",106.7,0
"15","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1270",107,0
"16","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1271",100.2,0
"17","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1272",93.4,0
"18","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1273",108.5,0
"19","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1274",94.9,0
"20","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1275",100.7,0
"21","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1276",109.2,0
"22","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1277",107.2,0
"23","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1278",102.5,0
"24","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1279",95.4,0
"25","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1280",101.8,0
"26","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1281",111.1,0
"27","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1282",118.7,0
"28","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1283",106.6,0
"29","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1284",104,0
"30","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1285",99.4,0
"31","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1286",106.5,0
"32","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1288",105.9,0
"33","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1289",114.2,0
"34","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1290",104.2,0
"35","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1291",97.9,0
"36","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1292",100.2,0
"37","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1293",99.3,0
"38","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1294",105.2,0
"39","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1295",98.1,0
"40","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1296",103.8,0
"41","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1297",99.4,0
"42","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1302",105.7,0
"43","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1304",113.6,0
"44","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1307",105.7,0
"45","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1309",109.3,0
"46","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1310",106.5,0
"47","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1311",99.1,0
"48","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1312",110.5,0
"49","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1313",100,0
"50","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1314",107.6,0
"51","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1316",107.7,0
"52","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1317",111.1,0
"53","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1318",113.3,0
"54","Rice_IRRI_Philippines_Spindel_2015","2012DSRYT","T1",0.1,1,"A1319",118.4,118.4
