"","Data","Trait","Top_percentage_to_select","K_Value","Line","Observed","Predicted"
"1","Rice_Kim_2020","T1",0.1,0.5,"A1257",3457.33333333333,0
"2","Rice_Kim_2020","T1",0.1,0.5,"A1258",3911,0
"3","Rice_Kim_2020","T1",0.1,0.5,"A1259",3836,0
"4","Rice_Kim_2020","T1",0.1,0.5,"A1260",3611.66666666667,0
"5","Rice_Kim_2020","T1",0.1,0.5,"A1261",4085,4085
"6","Rice_Kim_2020","T1",0.1,0.5,"A1262",4449.33333333333,4449.33333333333
"7","Rice_Kim_2020","T1",0.1,0.5,"A1263",3872.66666666667,0
"8","Rice_Kim_2020","T1",0.1,0.5,"A1264",3700.33333333333,0
"9","Rice_Kim_2020","T1",0.1,0.5,"A1265",3565.66666666667,0
"10","Rice_Kim_2020","T1",0.1,0.5,"A1267",3408,0
"11","Rice_Kim_2020","T1",0.1,0.5,"A1268",3435,0
"12","Rice_Kim_2020","T1",0.1,0.5,"A1269",3767,0
"13","Rice_Kim_2020","T1",0.1,0.5,"A1270",3720,0
"14","Rice_Kim_2020","T1",0.1,0.5,"A1272",3919.33333333333,0
"15","Rice_Kim_2020","T1",0.1,0.5,"A1273",3866.66666666667,0
"16","Rice_Kim_2020","T1",0.1,0.5,"A1274",4029,4029
"17","Rice_Kim_2020","T1",0.1,0.5,"A1275",3743.33333333333,0
"18","Rice_Kim_2020","T1",0.1,0.5,"A1276",3750.66666666667,0
"19","Rice_Kim_2020","T1",0.1,0.5,"A1277",3715.66666666667,0
"20","Rice_Kim_2020","T1",0.1,0.5,"A1279",3714.33333333333,0
"21","Rice_Kim_2020","T1",0.1,0.5,"A1302",3913.66666666667,0
"22","Rice_Kim_2020","T1",0.1,0.5,"A1304",4162.33333333333,4162.33333333333
"23","Rice_Kim_2020","T1",0.1,0.5,"A1307",3955.66666666667,3955.66666666667
"24","Rice_Kim_2020","T1",0.1,0.5,"A1309",3821.66666666667,0
"25","Rice_Kim_2020","T1",0.1,0.5,"A1310",3826,0
"26","Rice_Kim_2020","T1",0.1,0.5,"A1311",3748,0
"27","Rice_Kim_2020","T1",0.1,0.5,"A1312",3824.66666666667,0
"28","Rice_Kim_2020","T1",0.1,0.5,"A1313",3705.33333333333,0
"29","Rice_Kim_2020","T1",0.1,0.5,"A1314",3633.66666666667,0
