"","Dataset","Top_percentage_to_select","Method","Ratio_Mean_avg","Ratio_Mean_sd","Ratio_Variance_avg","Ratio_Variance_sd","Ratio_Mean_Var_avg","Ratio_Mean_Var_sd","Ratio_Relatedness_avg","Ratio_Relatedness_sd"
"1","Groundnut","0.1","BV_QP",0.940927557285714,0.00807366411428247,0.764493408571429,0.00854912413310123,0.76096398,0.234968706898362,0.562080559714286,0.000911515884749397
"2","Groundnut","0.1","BV_Trad",1,0,1,0,0.592636403857143,0.176110884604991,1,0
"3","Groundnut","0.2","BV_QP",0.925672492714286,0.0109968237119498,0.772208194714286,0.00777097499565118,0.367771186142857,0.115810969344045,0.600987338285714,0.000237110620722366
"4","Groundnut","0.2","BV_Trad",1,0,1,0,0.285006953571429,0.0855658309036166,1,0
"5","Indica","0.1","BV_QP",0.982506550071162,0.00610684435792356,0.245526027484817,0.067432921196945,208.224952295,64.2493400517427,0.234658206169805,0.00639982873592879
"6","Indica","0.1","BV_Trad",1,0,1,0,102.2838009235,46.5002540306825,1,0
"7","Indica","0.2","BV_QP",0.98341291412994,0.00494359605568071,0.186069092691883,0.0398860523849994,313.784165695,96.0961415295648,0.26215211367254,0.00689245010655797
"8","Indica","0.2","BV_Trad",1,0,1,0,98.34745625775,43.8386833217121,1,0
"9","Japonica","0.1","BV_QP",0.997362452263547,0.00123317819629138,0.6111077077292,0.12154043554332,1006.78514566667,480.377358850497,0.528814729070641,0.275905807045542
"10","Japonica","0.1","BV_Trad",1,0,1,0,944.644380353333,498.126923027566,1,0
"11","Japonica","0.2","BV_QP",0.997455222134645,0.00088837631442058,0.487373929100819,0.12775426301099,1003.4828647,445.468266250604,0.399729444212025,0.174453699773652
"12","Japonica","0.2","BV_Trad",1,0,1,0,830.516211933333,441.577651388145,1,0
"13","Rice_IRRI_Philippines_Spindel_2015","0.1","BV_QP",0.963547486235542,0.00318902802257004,0.575954048375566,0.0113286797382581,58.63219819,1.95211032150283,0.469178899908031,0.0401536277216831
"14","Rice_IRRI_Philippines_Spindel_2015","0.1","BV_Trad",1,0,1,0,34.3934703133333,1.1283808976707,1,0
"15","Rice_IRRI_Philippines_Spindel_2015","0.2","BV_QP",0.986019767997254,0.000897936113479472,0.576700672205138,0.0134200694583304,65.6568262433333,2.13056073053614,0.238768278551369,0.0183488381195646
"16","Rice_IRRI_Philippines_Spindel_2015","0.2","BV_Trad",1,0,1,0,37.9837696516667,1.24704258967643,1,0
"17","Eucalyptus_Australian_Calister_2022","0.1","BV_QP",0.711398583857143,0.0262792431777509,0.478077132857143,0.0209214138706955,392.061754237,52.207186346317,0.109642916,0.00749317503197896
"18","Eucalyptus_Australian_Calister_2022","0.1","BV_Trad",1,0,1,0,250.123438950143,33.170597064728,1,0
"19","Eucalyptus_Australian_Calister_2022","0.2","BV_QP",0.702225416428571,0.0235543770237825,0.548281524,0.0274933073188302,281.156506828143,37.0406441408968,0.324333305,0.042886495143077
"20","Eucalyptus_Australian_Calister_2022","0.2","BV_Trad",1,0,1,0,204.270632109,27.287134911743,1,0
"21","Across_Dataset","0.1","BV_QP",0.910635344845509,0.00415369888644305,0.558329381928293,0.00674136274134605,221.412140969061,15.0307645379493,0.389614792145076,0.0118940567295419
"22","Across_Dataset","0.1","BV_Trad",1,0,1,0,163.963712605818,14.353520643644,1,0
"23","Across_Dataset","0.2","BV_QP",0.913743633420932,0.00421266494790585,0.556673765319141,0.00716638854645953,212.852639936364,14.1227626237269,0.351220019180081,0.00804678513729825
"24","Across_Dataset","0.2","BV_Trad",1,0,1,0,144.625247578455,12.6205996711804,1,0
