"","Data","Trait","Fold","k","Env","Top_percentage_to_select","Line","Observed","Predicted","Line.1","Observed.1","Predicted.1","Line.2","Observed.2","Predicted.2"
"1","Groundnut_AL","PYPP",1,1,NA,0.2,"ICGV02434",9.02099539712115,0,"ICGV02434",8.51688999498487,0,"ICGV02434",8.51688999498487,1
"2","Groundnut_AL","PYPP",1,1,NA,0.2,"ICGV00362",10.4032540568906,10.4032540568906,"ICGV00362",9.36193194477462,10.4032540568906,"ICGV00362",9.36193194477462,0
"3","Groundnut_AL","PYPP",1,1,NA,0.2,"M28-2",8.82871064715025,0,"M28-2",10.515556238655,0,"M28-2",10.515556238655,0
"4","Groundnut_AL","PYPP",1,1,NA,0.2,"ICGV97115",8.99486973644922,0,"ICGV97115",9.39343902121612,0,"ICGV97115",9.39343902121612,1
"5","Groundnut_AL","PYPP",1,1,NA,0.2,"ICGV05057",9.89885453813572,0,"ICGV05057",12.2151395751954,0,"ICGV05057",12.2151395751954,0
"6","Groundnut_AL","PYPP",1,1,NA,0.2,"TG19",8.36613867901251,0,"TG19",9.10912401303261,0,"TG19",9.10912401303261,0
"7","Groundnut_AL","PYPP",1,1,NA,0.2,"ICG3343",8.86957684411998,0,"ICG3343",9.43052137781204,0,"ICG3343",9.43052137781204,0
"8","Groundnut_AL","PYPP",1,1,NA,0.2,"ICGV97232",10.6919239997061,10.6919239997061,"ICGV97232",7.65105726198954,10.6919239997061,"ICGV97232",7.65105726198954,0
"9","Groundnut_AL","PYPP",1,1,NA,0.2,"ICGV95377",9.85163476339188,0,"ICGV95377",9.46346285616328,0,"ICGV95377",9.46346285616328,0
"10","Groundnut_AL","PYPP",1,1,NA,0.2,"ICG2857",8.50925323599492,0,"ICG2857",6.36491023464344,0,"ICG2857",6.36491023464344,0
"11","Groundnut_AL","PYPP",1,1,NA,0.2,"ICGV07148",10.8576219588489,0,"ICGV07148",8.50900775527836,0,"ICGV07148",8.50900775527836,0
"12","Groundnut_AL","PYPP",1,1,NA,0.2,"CSMG84-1",8.2927521411177,0,"CSMG84-1",8.92915813537024,0,"CSMG84-1",8.92915813537024,0
"13","Groundnut_AL","PYPP",1,1,NA,0.2,"ICG6766",6.87575048060968,0,"ICG6766",4.80033030070536,0,"ICG6766",4.80033030070536,0
"14","Groundnut_AL","PYPP",1,1,NA,0.2,"ICGV07217",10.0296270937667,0,"ICGV07217",8.76075740723476,0,"ICGV07217",8.76075740723476,1
"15","Groundnut_AL","PYPP",1,1,NA,0.2,"ICGV02323",13.133961710765,13.133961710765,"ICGV02323",16.2200563135778,13.133961710765,"ICGV02323",16.2200563135778,0
"16","Groundnut_AL","PYPP",1,1,NA,0.2,"ICGV99085",9.82523422735111,0,"ICGV99085",8.87202069267372,0,"ICGV99085",8.87202069267372,0
"17","Groundnut_AL","PYPP",1,1,NA,0.2,"ICG3746",8.78283463777139,0,"ICG3746",7.92315314371109,0,"ICG3746",7.92315314371109,0
"18","Groundnut_AL","PYPP",1,1,NA,0.2,"ICGV99083",10.7828256617052,10.7828256617052,"ICGV99083",7.84272867354586,10.7828256617052,"ICGV99083",7.84272867354586,1
"19","Groundnut_AL","PYPP",1,1,NA,0.2,"GPBD4",8.43465511895164,0,"GPBD4",9.27655981329788,0,"GPBD4",9.27655981329788,0
"20","Groundnut_AL","PYPP",1,1,NA,0.2,"ICG9315",9.78151361392555,0,"ICG9315",8.69178946109708,0,"ICG9315",8.69178946109708,0
"21","Groundnut_AL","PYPP",1,1,NA,0.2,"49×27-13(ii)",9.86119085477206,0,"49×27-13(ii)",10.0738561288661,0,"49×27-13(ii)",10.0738561288661,1
"22","Groundnut_AL","PYPP",1,1,NA,0.2,"ICG10036",7.89813278545135,0,"ICG10036",8.70258557429666,0,"ICG10036",8.70258557429666,0
"23","Groundnut_AL","PYPP",1,1,NA,0.2,"ICG15419",8.54411039974055,0,"ICG15419",7.19294579771342,0,"ICG15419",7.19294579771342,1
"24","Groundnut_AL","PYPP",1,1,NA,0.2,"ICGV00248",11.5126309240037,11.5126309240037,"ICGV00248",9.40266714108049,11.5126309240037,"ICGV00248",9.40266714108049,0
"25","Groundnut_AL","PYPP",1,1,NA,0.2,"DTG3",10.0329601051366,0,"DTG3",9.50209919644064,0,"DTG3",9.50209919644064,0
"26","Groundnut_AL","PYPP",1,1,NA,0.2,"ICGV03064",12.2762326169011,12.2762326169011,"ICGV03064",14.7431069383862,12.2762326169011,"ICGV03064",14.7431069383862,0
"27","Groundnut_AL","PYPP",1,1,NA,0.2,"49×37-90",8.65796073045295,0,"49×37-90",7.90306005045798,0,"49×37-90",7.90306005045798,0
"28","Groundnut_AL","PYPP",1,1,NA,0.2,"ICGV91114",10.1330607546306,10.1330607546306,"ICGV91114",7.49186926941436,10.1330607546306,"ICGV91114",7.49186926941436,0
