"","Data","Trait","Fold","k","Env","Top_percentage_to_select","Line","Observed","Predicted","Line.1","Observed.1","Predicted.1","Line.2","Observed.2","Predicted.2"
"1","Indica_AL","GY",1,1,NA,0.2,"Line_96",11309.1150336775,11309.1150336775,"Line_96",11551.8250110642,11309.1150336775,"Line_96",11551.8250110642,1
"2","Indica_AL","GY",1,1,NA,0.2,"Line_249",11297.2742200299,11297.2742200299,"Line_249",10963.7673066083,11297.2742200299,"Line_249",10963.7673066083,0
"3","Indica_AL","GY",1,1,NA,0.2,"Line_214",10988.1210304322,0,"Line_214",11964.967347253,0,"Line_214",11964.967347253,0
"4","Indica_AL","GY",1,1,NA,0.2,"Line_73",11280.6668730677,0,"Line_73",11530.1940806933,0,"Line_73",11530.1940806933,0
"5","Indica_AL","GY",1,1,NA,0.2,"Line_47",11285.7367296146,0,"Line_47",11952.410769874,0,"Line_47",11952.410769874,0
"6","Indica_AL","GY",1,1,NA,0.2,"Line_267",11300.1269484969,11300.1269484969,"Line_267",11394.0856800875,11300.1269484969,"Line_267",11394.0856800875,0
"7","Indica_AL","GY",1,1,NA,0.2,"Line_80",11306.6654767372,11306.6654767372,"Line_80",11376.1037923852,11306.6654767372,"Line_80",11376.1037923852,0
"8","Indica_AL","GY",1,1,NA,0.2,"Line_175",10599.7398910657,0,"Line_175",10497.7049687914,0,"Line_175",10497.7049687914,0
"9","Indica_AL","GY",1,1,NA,0.2,"Line_53",11291.007222126,0,"Line_53",10593.9696295841,0,"Line_53",10593.9696295841,0
"10","Indica_AL","GY",1,1,NA,0.2,"Line_40",11292.1919940603,0,"Line_40",10582.2248106833,0,"Line_40",10582.2248106833,0
"11","Indica_AL","GY",1,1,NA,0.2,"Line_17",11296.9455520244,11296.9455520244,"Line_17",11047.626971511,11296.9455520244,"Line_17",11047.626971511,0
"12","Indica_AL","GY",1,1,NA,0.2,"Line_290",10674.0596501783,0,"Line_290",10462.2428968532,0,"Line_290",10462.2428968532,0
"13","Indica_AL","GY",1,1,NA,0.2,"Line_131",11296.6596559582,11296.6596559582,"Line_131",12255.4067221208,11296.6596559582,"Line_131",12255.4067221208,0
"14","Indica_AL","GY",1,1,NA,0.2,"Line_193",10183.6685674737,0,"Line_193",9917.09078974418,0,"Line_193",9917.09078974418,1
"15","Indica_AL","GY",1,1,NA,0.2,"Line_294",9207.64198630908,0,"Line_294",9720.91634030875,0,"Line_294",9720.91634030875,0
"16","Indica_AL","GY",1,1,NA,0.2,"Line_247",11282.8228269143,0,"Line_247",11898.0562734338,0,"Line_247",11898.0562734338,0
"17","Indica_AL","GY",1,1,NA,0.2,"Line_65",11288.121349267,0,"Line_65",11386.8919236869,0,"Line_65",11386.8919236869,0
