"","Data","Trait","Fold","k","Env","Top_percentage_to_select","Line","Observed","Predicted","Line.1","Observed.1","Predicted.1","Line.2","Observed.2","Predicted.2"
"1","Japonica_AL","GY",1,1,NA,0.2,"Line_25",8235.06654363675,0,"Line_25",8245.18362555829,0,"Line_25",8245.18362555829,1
"2","Japonica_AL","GY",1,1,NA,0.2,"Line_215",8422.5809740359,0,"Line_215",8572.54645400946,0,"Line_215",8572.54645400946,0
"3","Japonica_AL","GY",1,1,NA,0.2,"Line_8",8428.72568692498,0,"Line_8",7603.73833352373,0,"Line_8",7603.73833352373,0
"4","Japonica_AL","GY",1,1,NA,0.2,"Line_53",8113.66105794992,0,"Line_53",8221.76713438838,0,"Line_53",8221.76713438838,1
"5","Japonica_AL","GY",1,1,NA,0.2,"Line_268",8112.78933695259,0,"Line_268",8223.24526848509,0,"Line_268",8223.24526848509,0
"6","Japonica_AL","GY",1,1,NA,0.2,"Line_87",7603.52443089391,0,"Line_87",7624.0629203928,0,"Line_87",7624.0629203928,0
"7","Japonica_AL","GY",1,1,NA,0.2,"Line_175",8853.76758967927,8853.76758967927,"Line_175",9021.57836773822,8853.76758967927,"Line_175",9021.57836773822,0
"8","Japonica_AL","GY",1,1,NA,0.2,"Line_6",8063.70899504554,0,"Line_6",7979.33561374473,0,"Line_6",7979.33561374473,0
"9","Japonica_AL","GY",1,1,NA,0.2,"Line_47",8506.64353164192,0,"Line_47",8460.94437148648,0,"Line_47",8460.94437148648,0
"10","Japonica_AL","GY",1,1,NA,0.2,"Line_17",8390.39301574924,0,"Line_17",8444.7913951317,0,"Line_17",8444.7913951317,0
"11","Japonica_AL","GY",1,1,NA,0.2,"Line_291",8125.57781326875,0,"Line_291",8319.43796366442,0,"Line_291",8319.43796366442,0
"12","Japonica_AL","GY",1,1,NA,0.2,"Line_131",8671.80235389566,8671.80235389566,"Line_131",9536.25485327739,8671.80235389566,"Line_131",9536.25485327739,0
"13","Japonica_AL","GY",1,1,NA,0.2,"Line_193",8463.98177156391,0,"Line_193",8064.33889761534,0,"Line_193",8064.33889761534,0
"14","Japonica_AL","GY",1,1,NA,0.2,"Line_295",8323.37887747716,0,"Line_295",8008.26106091707,0,"Line_295",8008.26106091707,1
"15","Japonica_AL","GY",1,1,NA,0.2,"Line_248",8790.81951425667,8790.81951425667,"Line_248",9363.80359422215,8790.81951425667,"Line_248",9363.80359422215,0
"16","Japonica_AL","GY",1,1,NA,0.2,"Line_71",8040.3989086838,0,"Line_71",7683.56814743485,0,"Line_71",7683.56814743485,0
"17","Japonica_AL","GY",1,1,NA,0.2,"Line_179",8111.54188998893,0,"Line_179",8646.16844981758,0,"Line_179",8646.16844981758,0
"18","Japonica_AL","GY",1,1,NA,0.2,"Line_70",7759.23902448605,0,"Line_70",7878.26374752112,0,"Line_70",7878.26374752112,1
"19","Japonica_AL","GY",1,1,NA,0.2,"Line_136",8657.87821748287,8657.87821748287,"Line_136",9189.11728176239,8657.87821748287,"Line_136",9189.11728176239,0
"20","Japonica_AL","GY",1,1,NA,0.2,"Line_199",8241.45183429882,0,"Line_199",8687.90343593133,0,"Line_199",8687.90343593133,0
"21","Japonica_AL","GY",1,1,NA,0.2,"Line_116",8156.21674404537,0,"Line_116",7917.70899512292,0,"Line_116",7917.70899512292,1
"22","Japonica_AL","GY",1,1,NA,0.2,"Line_138",8646.85077199121,8646.85077199121,"Line_138",8378.8579172244,8646.85077199121,"Line_138",8378.8579172244,0
"23","Japonica_AL","GY",1,1,NA,0.2,"Line_161",8584.63248395931,8584.63248395931,"Line_161",9113.47761869264,8584.63248395931,"Line_161",9113.47761869264,1
"24","Japonica_AL","GY",1,1,NA,0.2,"Line_208",8207.08206042592,0,"Line_208",8173.53640776444,0,"Line_208",8173.53640776444,0
"25","Japonica_AL","GY",1,1,NA,0.2,"Line_134",8402.3409852341,0,"Line_134",8509.86045076156,0,"Line_134",8509.86045076156,0
"26","Japonica_AL","GY",1,1,NA,0.2,"Line_254",8371.38457745194,0,"Line_254",8056.14768381122,0,"Line_254",8056.14768381122,0
"27","Japonica_AL","GY",1,1,NA,0.2,"Line_120",8378.75750177397,0,"Line_120",7660.0888021956,0,"Line_120",7660.0888021956,0
"28","Japonica_AL","GY",1,1,NA,0.2,"Line_33",8012.24491554769,0,"Line_33",9144.9782471657,0,"Line_33",9144.9782471657,0
"29","Japonica_AL","GY",1,1,NA,0.2,"Line_278",8533.21752424307,0,"Line_278",7710.38082620956,0,"Line_278",7710.38082620956,0
"30","Japonica_AL","GY",1,1,NA,0.2,"Line_133",8686.36396223702,8686.36396223702,"Line_133",9074.1552062422,8686.36396223702,"Line_133",9074.1552062422,0
"31","Japonica_AL","GY",1,1,NA,0.2,"Line_62",8427.40895259455,0,"Line_62",8539.49715307202,0,"Line_62",8539.49715307202,0
