"","Data","Trait","Fold","k","Env","Top_percentage_to_select","Line","Observed","Predicted","Line.1","Observed.1","Predicted.1","Line.2","Observed.2","Predicted.2"
"1","Rice_Kim_2020","y.pheno",1,1,1,0.2,"B1161",3669.6154151956,0,"B1161",3537,0,"B1161",3537,1
"2","Rice_Kim_2020","y.pheno",1,1,1,0.2,"B1009",3649.93214640673,0,"B1009",4189.66666666667,0,"B1009",4189.66666666667,1
"3","Rice_Kim_2020","y.pheno",1,1,1,0.2,"A1257",3739.46987171974,3739.46987171974,"A1257",3457.33333333333,3739.46987171974,"A1257",3457.33333333333,0
"4","Rice_Kim_2020","y.pheno",1,1,1,0.2,"A1320",3643.22067299651,0,"A1320",3344.66666666667,0,"A1320",3344.66666666667,1
"5","Rice_Kim_2020","y.pheno",1,1,1,0.2,"M1353",3605.62320901915,0,"M1353",3580.66666666667,0,"M1353",3580.66666666667,0
"6","Rice_Kim_2020","y.pheno",1,1,1,0.2,"B1019",3673.0201151075,0,"B1019",3510.33333333333,0,"B1019",3510.33333333333,0
"7","Rice_Kim_2020","y.pheno",1,1,1,0.2,"A1272",3746.22771446802,3746.22771446802,"A1272",3919.33333333333,3746.22771446802,"A1272",3919.33333333333,1
"8","Rice_Kim_2020","y.pheno",1,1,1,0.2,"B1219",3669.75245003107,0,"B1219",4006,0,"B1219",4006,0
"9","Rice_Kim_2020","y.pheno",1,1,1,0.2,"B1111",3709.34014928819,0,"B1111",3476,0,"B1111",3476,0
"10","Rice_Kim_2020","y.pheno",1,1,1,0.2,"B1075",3715.05698634189,0,"B1075",3869.33333333333,0,"B1075",3869.33333333333,0
"11","Rice_Kim_2020","y.pheno",1,1,1,0.2,"M1364",3628.46587257317,0,"M1364",3435.33333333333,0,"M1364",3435.33333333333,0
"12","Rice_Kim_2020","y.pheno",1,1,1,0.2,"M1347",3657.5162432195,0,"M1347",3274.33333333333,0,"M1347",3274.33333333333,0
"13","Rice_Kim_2020","y.pheno",1,1,1,0.2,"A1302",3739.02349180015,3739.02349180015,"A1302",3913.66666666667,3739.02349180015,"A1302",3913.66666666667,0
"14","Rice_Kim_2020","y.pheno",1,1,1,0.2,"B1104",3693.17742800665,0,"B1104",3667,0,"B1104",3667,0
"15","Rice_Kim_2020","y.pheno",1,1,1,0.2,"B1207",3718.55118279877,0,"B1207",3501,0,"B1207",3501,0
"16","Rice_Kim_2020","y.pheno",1,1,1,0.2,"A1263",3700.06861135376,0,"A1263",3872.66666666667,0,"A1263",3872.66666666667,0
"17","Rice_Kim_2020","y.pheno",1,1,1,0.2,"B1206",3648.86027503697,0,"B1206",3589.33333333333,0,"B1206",3589.33333333333,0
"18","Rice_Kim_2020","y.pheno",1,1,1,0.2,"B1216",3723.49231302292,3723.49231302292,"B1216",3292,3723.49231302292,"B1216",3292,0
"19","Rice_Kim_2020","y.pheno",1,1,1,0.2,"M1363",3676.45132527462,0,"M1363",3555,0,"M1363",3555,0
"20","Rice_Kim_2020","y.pheno",1,1,1,0.2,"B1007",3632.84051628385,0,"B1007",4259.66666666667,0,"B1007",4259.66666666667,0
"21","Rice_Kim_2020","y.pheno",1,1,1,0.2,"M1354",3607.59759583412,0,"M1354",3545,0,"M1354",3545,0
"22","Rice_Kim_2020","y.pheno",2,1,1,0.2,"M1347",3663.9409954934,0,"M1347",3274.33333333333,0,"M1347",3274.33333333333,0
"23","Rice_Kim_2020","y.pheno",2,1,1,0.2,"B1216",3695.00483641456,0,"B1216",3292,0,"B1216",3292,0
"24","Rice_Kim_2020","y.pheno",2,1,1,0.2,"B1202",3652.44522116368,0,"B1202",3769,0,"B1202",3769,0
"25","Rice_Kim_2020","y.pheno",2,1,1,0.2,"A1262",3668.17638285303,0,"A1262",4449.33333333333,0,"A1262",4449.33333333333,0
"26","Rice_Kim_2020","y.pheno",2,1,1,0.2,"A1318",3658.07876290368,0,"A1318",3566.33333333333,0,"A1318",3566.33333333333,0
"27","Rice_Kim_2020","y.pheno",2,1,1,0.2,"A1264",3702.04159708548,3702.04159708548,"A1264",3700.33333333333,3702.04159708548,"A1264",3700.33333333333,1
"28","Rice_Kim_2020","y.pheno",2,1,1,0.2,"A1275",3693.10008238884,0,"A1275",3743.33333333333,0,"A1275",3743.33333333333,0
"29","Rice_Kim_2020","y.pheno",2,1,1,0.2,"M1360",3644.84580590579,0,"M1360",3484.33333333333,0,"M1360",3484.33333333333,0
"30","Rice_Kim_2020","y.pheno",2,1,1,0.2,"B1218",3740.27694493801,3740.27694493801,"B1218",3675.66666666667,3740.27694493801,"B1218",3675.66666666667,0
"31","Rice_Kim_2020","y.pheno",2,1,1,0.2,"B1209",3695.388250201,0,"B1209",3469,0,"B1209",3469,0
"32","Rice_Kim_2020","y.pheno",2,1,1,0.2,"B1011",3685.51420426031,0,"B1011",3869.66666666667,0,"B1011",3869.66666666667,0
