"","Data","Trait","testing_proportion","Fold","k","Env","Top_percentage_to_select","PM","PM_True","PM_Total_Rand","TBV_QP","TBV_Trad","TBV_Trad_True","TBV_Total_Rand","Mean_BV_QP","Mean_BV_Trad","Mean_BV_Trad_True","Mean_BV_Total_Rand","Var_Opt_QP","Var_Trad","Var_Trad_True","Var_Total_Rand","Expected_Loss_QP","Expected_Loss_Trad","Expected_Loss_Trad_True","Expected_Loss_Total_Rand","Ratio_QP","Ratio_Trad","Ratio_Trad_True","Ratio_Total_Rand","Ave_Rel_QP","Ave_Rel_Trad","Ave_Rel_Trad_True","Ave_Rel_Total_Rand"
"1","Rice_Kim_2020","y.pheno",0.2,1,1,1,0.2,100,25,50,14948.2133910108,14948.2133910108,16374.6666666667,14990.6666666667,3737.05334775271,3737.05334775271,4093.66666666667,3747.66666666667,28.316,28.316,27.47822,27.8906,14919.8973910108,14919.8973910108,16347.1884466667,14962.7760666667,527.906956879885,527.906956879885,595.914388438067,537.480967303201,1.693,1.693,1.623185,1.65755
"2","Rice_Kim_2020","y.pheno",0.2,2,1,1,0.2,100,25,0,14862.878515682,14862.878515682,16350,14633.3333333333,3715.71962892049,3715.71962892049,4087.5,3658.33333333333,27.9606,27.9606,27.3705,27.99592,14834.917915682,14834.917915682,16322.6295,14605.3374133333,531.565077848185,531.565077848185,597.358469885461,522.695211778478,1.66338333333333,1.66338333333333,1.61420833333333,1.66632666666667
"3","Rice_Kim_2020","y.pheno",0.2,3,1,1,0.2,100,25,25,14914.1490241026,14914.1490241026,16181.6666666667,14778,3728.53725602565,3728.53725602565,4045.41666666667,3694.5,28.01808,28.01808,27.97462,28.15814,14886.1309441026,14886.1309441026,16153.6920466667,14749.84186,532.304462836233,532.304462836233,578.440982099727,524.821596881044,1.66817333333333,1.66817333333333,1.66455166666667,1.679845
"4","Rice_Kim_2020","y.pheno",0.2,4,1,1,0.2,100,0,50,15060.63979172,15060.63979172,15493,14667.6666666667,3765.15994793001,3765.15994793001,3873.25,3666.91666666667,28.28356,28.28356,27.77932,28.1226,15032.35623172,15032.35623172,15465.22068,14639.5440666667,532.487416425657,532.487416425657,557.717035550186,521.561543622093,1.69029666666667,1.69029666666667,1.64827666666667,1.67688333333333
"5","Rice_Kim_2020","y.pheno",0.2,5,1,1,0.2,100,25,25,15126.344997984,15126.344997984,15699.3333333333,14425.6666666667,3781.58624949601,3781.58624949601,3924.83333333333,3606.41666666667,27.69718,27.69718,27.87032,27.99634,15098.647817984,15098.647817984,15671.4630133333,14397.6703266667,546.133035853615,546.133035853615,563.299356926413,515.26973406762,1.64143166666667,1.64143166666667,1.65586,1.66636166666667
"6","Rice_Kim_2020","y.pheno",0.2,1,1,2,0.2,100,25,50,9643.79872315041,9643.79872315041,11419,9857.33333333334,2410.9496807876,2410.9496807876,2854.75,2464.33333333333,28.75052,28.75052,28.3324,27.8906,9615.04820315041,9615.04820315041,11390.6676,9829.44273333334,335.430410411722,335.430410411722,403.036805918313,353.428514744514,1.72921,1.72921,1.69436666666667,1.65755
"7","Rice_Kim_2020","y.pheno",0.2,2,1,2,0.2,100,25,25,10202.2443392141,10202.2443392141,10733,8942.16666666666,2550.56108480353,2550.56108480353,2683.25,2235.54166666667,27.9841,27.9841,27.9934,27.99592,10174.2602392141,10174.2602392141,10705.0066,8914.17074666666,364.572894579926,364.572894579926,383.411804210993,319.409637785315,1.66534166666667,1.66534166666667,1.66611666666667,1.66632666666667
"8","Rice_Kim_2020","y.pheno",0.2,3,1,2,0.2,100,25,0,9989.15482883379,9989.15482883379,11267,8108,2497.28870720845,2497.28870720845,2816.75,2027,28.88344,28.88344,27.76026,28.15814,9960.27138883379,9960.27138883379,11239.23974,8079.84186,345.843667819131,345.843667819131,405.86795656813,287.945155468365,1.74028666666667,1.74028666666667,1.64668833333333,1.679845
"9","Rice_Kim_2020","y.pheno",0.2,4,1,2,0.2,100,25,25,9852.87580242988,9852.87580242988,11658.8333333333,9764.16666666667,2463.21895060747,2463.21895060747,2914.70833333333,2441.04166666667,28.34698,28.34698,27.76636,28.1226,9824.52882242988,9824.52882242988,11631.0669733333,9736.04406666667,347.581146296003,347.581146296003,419.890591828865,347.199998103542,1.69558166666667,1.69558166666667,1.64719666666667,1.67688333333333
"10","Rice_Kim_2020","y.pheno",0.2,5,1,2,0.2,100,25,0,10151.822542308,10151.822542308,11185.1666666667,8305.16666666667,2537.95563557701,2537.95563557701,2796.29166666667,2076.29166666667,28.25396,28.25396,28.49452,27.99634,10123.568582308,10123.568582308,11156.6721466667,8277.17032666667,359.306183710461,359.306183710461,392.53746568346,296.651871875634,1.68783,1.68783,1.70787666666667,1.66636166666667
